ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias,Party Bias
1,Monmouth University,71,yes,no,yes,41,5.488592,0.8521127,-1.452013,-1.200763,A+,no,0.5892957,D +1.0
2,Field Research Corporation (Field Poll),25,yes,no,yes,17,3.8568,1,-2.54074,-1.142149,A+,no,-1.095745,R +3.0
3,Selzer & Company,37,yes,no,yes,24,4.620541,0.8378378,-1.624378,-1.119856,A+,no,-0.0074074,R +0.0
4,Elway Research,18,yes,no,yes,16,3.987778,0.8888889,-2.306804,-0.98125,A+,no,0.481087,D +1.4
5,Ciruli Associates,17,yes,no,yes,16,3.604118,0.9411765,-2.002258,-0.9534631,A+,no,-0.7176087,R +2.1
6,ABC News/Washington Post,51,yes,no,yes,46,3.021961,0.7843137,-1.041506,-0.8607013,A+,no,0.5755263,D +1.0
7,Grove Insight,29,yes,no,no,29,3.140344,0.8965517,-2.512963,-0.8169233,A,no,0.4808475,D +1.0
8,Marist College,146,yes,no,yes,85,5.395822,0.880137,-0.8353609,-0.8118232,A,no,-0.6708696,R +0.9
9,Muhlenberg College,22,yes,no,yes,21,3.493636,0.9090909,-1.327424,-0.7950342,A,no,-0.4982353,R +1.2
10,National Journal,12,yes,no,yes,12,2.596667,1,-2.609999,-0.7897959,A,no,-0.1785714,R +0.6
11,Public Policy Institute of California,12,yes,no,yes,8,4.065,1,-1.992754,-0.7877255,A,no,-0.7092106,R +3.4
12,SurveyUSA,763,no,no,yes,597,4.62772,0.9017038,-0.975466,-0.756749,A,no,0.090319,D +0.1
13,University of Cincinnati (Ohio Poll),38,yes,no,yes,29,3.729211,0.9342105,-0.9062568,-0.7280639,A,no,-1.453051,R +3.0
14,Siena College,42,yes,no,yes,38,5.331666,0.8452381,-0.8431964,-0.7085312,A,no,-0.2779412,R +0.5
15,Fairleigh Dickinson University (PublicMind),18,yes,no,yes,17,4.077778,0.9444444,-1.250776,-0.700291,A,no,0.0451064,D +0.1
16,"Research & Polling, Inc.",26,yes,no,no,25,4.136154,0.8461539,-1.693069,-0.6159658,A,no,-0.6661818,R +1.5
17,Fox News/Anderson Robbins Research/Shaw & Company Research,24,yes,no,yes,9,6.39625,0.6458333,-0.7573535,-0.5699349,A,no,0.4471795,D +1.9
18,Marquette University,7,yes,no,yes,4,2.594286,1,-3.762563,-0.569905,A,no,-0.0594118,R +0.5
19,Behavior Research Center (Rocky Mountain),7,yes,no,yes,5,3.46,0.7142857,-2.487332,-0.569905,A,no,0.088,D +0.6
20,Blum & Weprin Associates,18,yes,no,no,16,4.557777,0.9444444,-2.592506,-0.563125,A,no,-1.034565,R +3.0
21,NBC News/Wall Street Journal,25,yes,no,yes,20,4.182001,0.74,-0.607908,-0.5093797,A-,no,0.4582,D +1.1
22,University of Connecticut,7,yes,no,yes,7,3.64,0.9285714,-1.555947,-0.4858951,A-,no,-0.3637838,R +1.9
23,Time/Abt SRBI,7,yes,no,yes,6,3.172857,1,-1.545493,-0.4839172,A-,no,0.4425,D +2.7
24,Angus Reid Global,29,no,yes,no,29,3.269655,0.9310345,-1.996648,-0.4183522,A-,no,-1.337627,R +2.7
25,Ipsos,49,no,yes,yes,43,4.254286,0.7755102,-0.9168712,-0.4141193,A-,no,0.1450685,D +0.2
26,Quinnipiac University,169,yes,no,yes,117,4.664438,0.872781,-0.3431102,-0.3986399,A-,no,-0.6578912,R +0.8
27,University of Arkansas,4,yes,no,yes,4,2.4325,1,-5.493968,-0.3982699,A-,no,0.2861765,D +2.4
28,IBD/TIPP,17,yes,no,no,17,2.307059,0.7647059,-1.555318,-0.3726976,A-,no,-0.7468085,R +2.1
29,CBS News/New York Times,55,yes,no,yes,45,4.729818,0.7545455,-0.2623802,-0.3694986,A-,no,0.6442667,D +1.1
30,CNN/Opinion Research Corp.,89,yes,no,yes,61,5.464831,0.758427,-0.2757123,-0.3671682,A-,no,-0.1073626,R +0.2
31,Los Angeles Times,40,yes,no,yes,24,5.23775,0.8625,-0.2377604,-0.3550468,A-,no,-0.6116667,R +1.4
